source_artifact,model_id,environment,decoder,label_mapping,decoder_value_gap
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.6,B-A-C,0.1173978628990204
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.9,B-A-C,0.0
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.1,B-A-C,0.0
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.3,B-A-C,-0.0292068741508896
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5_then_top_p_0.8,B-A-C,0.20154337397752092
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.8_then_temperature_0.5,B-A-C,0.11488447473545402
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,greedy,B-C-A,0.31303798867220367
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5,B-C-A,0.028495340990560808
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_1.5,B-C-A,-0.0097741171224347
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_k_2,B-C-A,0.14428130245689766
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.6,B-C-A,0.18029508027727426
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.9,B-C-A,0.0
